catalogNumber,dc:modified,basisOfRecord,institutionCode,collectionCode,associatedMedia,fieldNotes,scientificName,vernacularName,ScrapedName,AnnotatorName,VerbatimDate,identifiedBy,dateIdentified,associatedReferences,dataGeneralizations,identificationRemarks,occurenceRemarks,country,countryCode,stateProvince,county,locality,verbatimLocality,AnnotatorLocality,ScrapeGoatField,"decimal latitude","decimal longitude",geodeticDatum,coordinateUncertaintyInMeters,georeferencedBy,georeferencedDate,Kingdom,Phylum,Class,Order,Family,Genus,Species,EventDate,Day,Month,Year
JHFN1-20-A,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/20?oldid=3614109",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"night hawks",nighthawk,"Aug 6","Junius Henderson",1905-08-06,,,,,"United States of America",US,Colorado,,,"Crystal Mt.","Crystal Peak, Teller, CO",,,,,,,,,,,,,,,,,,
JHFN1-20-B,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/20?oldid=3614109",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,insect,insect,"Aug 7","Junius Henderson",1905-08-07,,,,,"United States of America",US,Colorado,,,"Crystal Mt.","Crystal Peak, Teller, CO",,,,,,,,,,,,,,,,,,
JHFN1-21-A,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/21?oldid=3614110",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"mourning doves","Zenaida macroura","Aug 7","Junius Henderson",1905-08-07,,,,,"United States of America",US,Colorado,,,"Crystal Mt.","Crystal Peak, Teller, CO",,,,,,,,,,,,,,,,,,
JHFN1-21-B,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/21?oldid=3614110",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"house wrens","Troglodytes aedon","Aug 7","Junius Henderson",1905-08-07,,,,,"United States of America",US,Colorado,,,"Crystal Mt.","Crystal Peak, Teller, CO",,,,,,,,,,,,,,,,,,
JHFN1-21-C,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/21?oldid=3614110",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Robins,"Turdus migratorius","Aug 8","Junius Henderson",1905-08-08,,,,,"United States of America",US,Colorado,,,"Crystal Mt.","Crystal Peak, Teller, CO",,,,,,,,,,,,,,,,,,
JHFN1-21-D,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/21?oldid=3614110",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"meadow lark",meadowlark,"Aug 8","Junius Henderson",1905-08-08,,,,,"United States of America",US,Colorado,,,"Crystal Mt.","Crystal Peak, Teller, CO",,,,,,,,,,,,,,,,,,
JHFN1-22-A,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/22?oldid=3604840",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"grayheaded juncos","Junco hyemalis caniceps","Aug 8","Junius Henderson",1905-08-08,,,,,"United States of America",US,Colorado,,,"Crystal Mt.","Crystal Peak, Teller, CO",,,,,,,,,,,,,,,,,,
JHFN1-27-A,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/27?oldid=3614536",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,phoebe,"Sayornis phoebe","'''Aug. 29, 1905'''","Junius Henderson",1905-08-29,,,,,"United States of America",US,Colorado,,,"Silver Lake","Silver Lake",,,,,,,,,,,,,,,,,,
JHFN1-27-B,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/27?oldid=3614536",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"Pisidium abditum",Pisidium,"'''Aug. 29, 1905'''","Junius Henderson",1905-08-29,,,,,"United States of America",US,Colorado,,,"Silver Lake","Silver Lake",,,,,,,,,,,,,,,,,,
JHFN1-29-A,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/29?oldid=3614537",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"Brewer Sparrow","Spizella breweri","'''Aug. 29, 1905'''","Junius Henderson",1905-08-29,,,,,"United States of America",US,Colorado,,,"Island lake","Island Lake, Colorado",,,,,,,,,,,,,,,,,,
