EntryNo,Date,Place,URI,Entry
14,1905-08-30,"High Fall, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/30?oldid=3581949",entry
14,1905-08-30,"High Fall, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/30?oldid=3581949",entry
14,1905-08-30,"he Saddle, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/30?oldid=3581949",entry
14,1905-08-30,"Arapaho Glacier","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/30?oldid=3581949",entry
14,1905-08-30,"Arapaho Glacier","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/31?oldid=3581952",entry
14,1905-08-30,"The Saddle, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/32?oldid=3581958",entry
14,1905-08-30,"High Fall, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/33?oldid=3614539",entry
14,1905-08-30,"The Saddle, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/33?oldid=3614539",entry
14,1905-08-30,"Goose Lake, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/33?oldid=3614539",entry
14,1905-08-30,"Arapaho Glacier","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/33?oldid=3614539",entry
15,1905-08-31,"Arapaho Glacier","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/33?oldid=3614539",entry
16,1905-09-01,"Arapaho Glacier","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/35?oldid=3614541",entry
17,1905-09-02,"Arapaho Glacier","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/37?oldid=3614543",entry
17,1905-09-02,"Silver Lake","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/37?oldid=3614543",entry
17,1905-09-02,"North Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/38?oldid=3581808",entry
17,1905-09-02,"Silver Lake, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/38?oldid=3581808",entry
17,1905-09-02,"Island Lake Dam, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/38?oldid=3581808",entry
17,1905-09-02,"Island Lake, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/38?oldid=3581808",entry
18,1905-09-03,"Island Lake, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/39?oldid=3614544",entry
18,1905-09-03,"Denver, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/39?oldid=3614544",entry
18,1905-09-03,"Goose Lake Dam","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/39?oldid=3614544",entry
18,1905-09-03,"Goose Lake, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/40?oldid=3614545",entry
18,1905-09-03,"Island Lake, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/40?oldid=3614545",entry
